,walle.mp4,rio_jungle_jig.mp4,bedtime.mp4,forest.mp4,pingu.mp4,moana.mp4,cars.mp4,tayo_bus.mp4,up_russell.mp4,ratatouille.mp4,incredibles.mp4,piper.mp4,minions_supermarket.mp4,real_cars.mp4,bathsong.mp4,breakfast_smoothie.mp4,new_orleans.mp4,wallace_gromit.mp4,up_kevin_nonsocial.mp4,supermarket.mp4,our_planet.mp4,up_kevin_social.mp4,funny_tools.mp4,hand_tools.mp4,despicable_me.mp4,dalmations.mp4,steamed_buns.mp4,cartoon_cars.mp4,mountain_song.mp4,beachsong.mp4
incredibles.mp4,3.415923159989603,1.1806693335680025,0.25825158303315643,5.8797054834988,1.8916036143044686,3.52100509348813,1.4545636745459625,3.9948587847755856,1.8518691324442642,1.1349672999991256,0.0,0.4868582636557841,4.510605914567071,0.5957988001434646,1.6775142409178274,2.3362876410429756,0.7370910763840453,3.0247903043712157,0.13248168950907235,5.167596002641076,1.7360954455133095,2.4790833148861946,1.0167745616518244,2.980356030055228,3.1252337039998466,1.1821336101099664,2.804465104671481,0.725387852955885,2.6818743576472084,1.2821804650886515
piper.mp4,3.9027814236453873,0.6938110699122184,0.22860668062262768,6.366563747154584,2.3784618779602527,4.007863357143914,0.9677054108901784,4.48171704843137,2.3387273961000483,1.6218255636549097,0.4868582636557841,0.0,4.997464178222855,1.0826570637992488,2.1643725045736115,2.8231459046987597,1.2239493400398294,3.5116485680269998,0.35437657414671175,5.65445426629686,2.2229537091690936,2.9659415785419787,0.5299162979960403,3.467214293711012,3.6120919676556307,1.6689918737657505,3.291323368327265,1.2122461166116691,3.1687326213029925,1.7690387287444356
minions_supermarket.mp4,1.0946827545774678,5.6912752481350735,4.768857497600227,1.3690995689317287,2.6190023002626024,0.9896008210789411,5.965169589113033,0.5157471297914853,2.6587367821228067,3.3756386145679453,4.510605914567071,4.997464178222855,0.0,3.9148071144236063,2.8330916736492435,2.1743182735240953,3.7735148381830257,1.4858156101958553,4.643087604076143,0.6569900880740054,2.7745104690537614,2.0315225996808763,5.527380476218895,1.5302498845118429,1.3853722105672244,3.3284723044571045,1.7061408098955901,3.785218061611186,1.8287315569198626,3.2284254494784195
real_cars.mp4,2.8201243598461385,1.7764681337114672,0.8540503831766211,5.283906683355335,1.295804814161004,2.925206293344665,2.050362474689427,3.399059984632121,1.2560703323007996,0.539168499855661,0.5957988001434646,1.0826570637992488,3.9148071144236063,0.0,1.0817154407743628,1.740488840899511,0.1412922762405806,2.428991504227751,0.728280489652537,4.571797202497612,1.1402966453698449,1.88328451474273,1.612573361795289,2.3845572299117634,2.529434903856382,0.5863348099665018,2.208666304528016,0.1295890528124204,2.0860755575037437,0.6863816649451868
bathsong.mp4,1.7384089190717757,2.85818357448583,1.9357658239509838,4.202191242580972,0.21408937338664114,1.8434908525703024,3.13207791546379,2.3173445438577582,0.1743548915264368,0.5425469409187018,1.6775142409178274,2.1643725045736115,2.8330916736492435,1.0817154407743628,0.0,0.6587734001251482,0.9404231645337822,1.3472760634533882,1.8099959304268998,3.490081761723249,0.058581204595482106,0.8015690739683672,2.694288802569652,1.3028417891374007,1.4477194630820192,0.495380630807861,1.1269508637536534,0.9521263879619424,1.004360116729381,0.39533377582917595
breakfast_smoothie.mp4,1.0796355189466276,3.516956974610978,2.594539224076132,3.543417842455824,0.44468402673850704,1.1847174524451543,3.790851315588938,1.65857114373261,0.4844185085987114,1.20132034104385,2.3362876410429756,2.8231459046987597,2.1743182735240953,1.740488840899511,0.6587734001251482,0.0,1.5991965646589303,0.6885026633282401,2.468769330552048,2.8313083615981007,0.6001921955296661,0.142795673843219,3.3530622026948,0.6440683890122525,0.788946062956871,1.1541540309330092,0.4681774636285052,1.6108997880870906,0.3455867166042328,1.0541071759543241
new_orleans.mp4,2.678832083605558,1.9177604099520478,0.9953426594172017,5.142614407114754,1.1545125379204233,2.7839140171040846,2.1916547509300077,3.2577677083915404,1.114778056060219,0.39787622361508035,0.7370910763840453,1.2239493400398294,3.7735148381830257,0.1412922762405806,0.9404231645337822,1.5991965646589303,0.0,2.2876992279871704,0.8695727658931176,4.430504926257031,0.9990043691292643,1.7419922385021493,1.7538656380358697,2.243264953671183,2.3881426276158013,0.4450425337259212,2.0673740282874356,0.011703223428160214,1.9447832812631631,0.5450893887046062
wallace_gromit.mp4,0.3911328556183875,4.205459637939218,3.283041887404372,2.854915179127584,1.133186690066747,0.4962147891169142,4.479353978917178,0.97006848040437,1.1729211719269514,1.88982300437209,3.0247903043712157,3.5116485680269998,1.4858156101958553,2.428991504227751,1.3472760634533882,0.6885026633282401,2.2876992279871704,0.0,3.157271993880288,2.1428056982698607,1.2886948588579061,0.545706989485021,4.04156486602304,0.044434274315987565,0.10044339962863091,1.8426566942612492,0.22032519969973485,2.2994024514153306,0.34291594672400727,1.7426098392825642
up_kevin_nonsocial.mp4,3.5484048494986755,1.0481876440589302,0.12576989352408408,6.012187173007872,2.024085303813541,3.653486782997202,1.3220819850368901,4.127340474284658,1.9843508219533366,1.267448989508198,0.13248168950907235,0.35437657414671175,4.643087604076143,0.728280489652537,1.8099959304268998,2.468769330552048,0.8695727658931176,3.157271993880288,0.0,5.300077692150149,1.8685771350223819,2.611565004395267,0.8842928721427521,3.1128377195643004,3.257715393508919,1.3146152996190388,2.936946794180553,0.8578695424649574,2.8143560471562807,1.4146621545977238
supermarket.mp4,1.7516728426514732,6.348265336209079,5.425847585674233,0.7121094808577233,3.2759923883366078,1.6465909091529465,6.622159677187039,1.1727372178654907,3.315726870196812,4.032628702641951,5.167596002641076,5.65445426629686,0.6569900880740054,4.571797202497612,3.490081761723249,2.8313083615981007,4.430504926257031,2.1428056982698607,5.300077692150149,0.0,3.431500557127767,2.6885126877548817,6.184370564292901,2.1872399725858482,2.0423622986412298,3.98546239253111,2.3631308979695955,4.442208149685191,2.485721644993868,3.885415537552425
